uid,grid_id,year,month,srad_mj_m2_day
"[24.0, 2016, 05]",24.0,2016,5.0,1758.3112705392273
"[24.0, 2016, 06]",24.0,2016,6.0,1552.7588521175658
"[24.0, 2016, 07]",24.0,2016,7.0,1485.259199259431
"[24.0, 2016, 08]",24.0,2016,8.0,1867.315204813701
"[24.0, 2016, 09]",24.0,2016,9.0,1567.6026382781765
"[24.0, 2016, 10]",24.0,2016,10.0,1720.4552186993756
"[24.0, 2016, 11]",24.0,2016,11.0,2003.243462161537
"[24.0, 2016, 12]",24.0,2016,12.0,1944.015042814164
"[25.0, 2016, 01]",25.0,2016,1.0,1756.0571203466616
"[25.0, 2016, 02]",25.0,2016,2.0,1905.194800078787
"[25.0, 2016, 03]",25.0,2016,3.0,1769.32854047666
"[25.0, 2016, 04]",25.0,2016,4.0,1938.025408705929
"[25.0, 2016, 05]",25.0,2016,5.0,2066.4597203072685
"[25.0, 2016, 06]",25.0,2016,6.0,1987.2670868623209
"[25.0, 2016, 07]",25.0,2016,7.0,2207.32932834351
"[25.0, 2016, 08]",25.0,2016,8.0,2438.960803624188
"[25.0, 2016, 09]",25.0,2016,9.0,2385.56115816427
"[25.0, 2016, 10]",25.0,2016,10.0,2430.4096907622616
"[25.0, 2016, 11]",25.0,2016,11.0,2257.9135316131574
"[25.0, 2016, 12]",25.0,2016,12.0,1933.6700807563525
"[26.0, 2016, 01]",26.0,2016,1.0,1835.5331367375447
"[26.0, 2016, 02]",26.0,2016,2.0,1645.7040198665222
"[26.0, 2016, 03]",26.0,2016,3.0,1684.1008846810494
"[26.0, 2016, 04]",26.0,2016,4.0,1943.5238243054482
"[26.0, 2016, 05]",26.0,2016,5.0,1601.6892751823686
"[26.0, 2016, 06]",26.0,2016,6.0,1085.6268818873198
"[26.0, 2016, 07]",26.0,2016,7.0,1060.600341455844
"[26.0, 2016, 08]",26.0,2016,8.0,1270.1460499767193
"[26.0, 2016, 09]",26.0,2016,9.0,1389.4013658233744
"[26.0, 2016, 10]",26.0,2016,10.0,1232.4508769206896
"[26.0, 2016, 11]",26.0,2016,11.0,1572.6861710383366
"[26.0, 2016, 12]",26.0,2016,12.0,1672.5145118733517
"[27.0, 2016, 01]",27.0,2016,1.0,1705.5811927959844
"[27.0, 2016, 02]",27.0,2016,2.0,1911.8643342190728
"[27.0, 2016, 03]",27.0,2016,3.0,1786.5199291408326
"[27.0, 2016, 04]",27.0,2016,4.0,1939.7477118393856
"[27.0, 2016, 05]",27.0,2016,5.0,2063.2229111307943
"[27.0, 2016, 06]",27.0,2016,6.0,1971.6300560968405
"[27.0, 2016, 07]",27.0,2016,7.0,2199.764245645114
"[27.0, 2016, 08]",27.0,2016,8.0,2450.759816947151
"[27.0, 2016, 09]",27.0,2016,9.0,2384.095955122527
"[27.0, 2016, 10]",27.0,2016,10.0,2414.0320342485975
"[27.0, 2016, 11]",27.0,2016,11.0,2227.308827871272
"[27.0, 2016, 12]",27.0,2016,12.0,1890.9998523767345
"[28.0, 2016, 01]",28.0,2016,1.0,1593.2357017157933
"[28.0, 2016, 02]",28.0,2016,2.0,1949.9496260448736
"[28.0, 2016, 03]",28.0,2016,3.0,2018.2915750109978
"[28.0, 2016, 04]",28.0,2016,4.0,1684.6447426308837
"[28.0, 2016, 05]",28.0,2016,5.0,1743.6934667839853
"[28.0, 2016, 06]",28.0,2016,6.0,1544.3430488341394
"[28.0, 2016, 07]",28.0,2016,7.0,1497.530246370435
"[28.0, 2016, 08]",28.0,2016,8.0,1875.196656401231
"[28.0, 2016, 09]",28.0,2016,9.0,1564.9474263088418
"[28.0, 2016, 10]",28.0,2016,10.0,1712.2078750549927
"[28.0, 2016, 11]",28.0,2016,11.0,2018.124725032995
"[28.0, 2016, 12]",28.0,2016,12.0,1956.8855037395504
"[29.0, 2016, 01]",29.0,2016,1.0,1555.2808387652194
"[29.0, 2016, 02]",29.0,2016,2.0,1970.2453572746278
"[29.0, 2016, 03]",29.0,2016,3.0,1987.6558233919568
"[29.0, 2016, 04]",29.0,2016,4.0,1703.2618989054238
"[29.0, 2016, 05]",29.0,2016,5.0,1745.9425039970483
"[29.0, 2016, 06]",29.0,2016,6.0,1565.518570901488
"[29.0, 2016, 07]",29.0,2016,7.0,1490.7764112655268
"[29.0, 2016, 08]",29.0,2016,8.0,1901.64401672611
"[29.0, 2016, 09]",29.0,2016,9.0,1566.1690443979828
"[29.0, 2016, 10]",29.0,2016,10.0,1698.5640142663876
"[29.0, 2016, 11]",29.0,2016,11.0,2002.7177468946006
"[29.0, 2016, 12]",29.0,2016,12.0,1938.2464026564999
"[30.0, 2016, 01]",30.0,2016,1.0,1810.195754716981
"[30.0, 2016, 02]",30.0,2016,2.0,2015.0141509433963
"[30.0, 2016, 03]",30.0,2016,3.0,2122.5841194968552
"[30.0, 2016, 04]",30.0,2016,4.0,2075.9360587002097
"[30.0, 2016, 05]",30.0,2016,5.0,1969.0204402515724
"[30.0, 2016, 06]",30.0,2016,6.0,1907.3165618448636
"[30.0, 2016, 07]",30.0,2016,7.0,2013.969077568134
"[30.0, 2016, 08]",30.0,2016,8.0,2135.2363731656183
"[30.0, 2016, 09]",30.0,2016,9.0,2200.2853773584907
"[30.0, 2016, 10]",30.0,2016,10.0,2005.7130503144654
"[30.0, 2016, 11]",30.0,2016,11.0,1782.1037735849056
"[30.0, 2016, 12]",30.0,2016,12.0,1662.2672955974842
"[31.0, 2016, 01]",31.0,2016,1.0,1635.4487471526197
"[31.0, 2016, 02]",31.0,2016,2.0,1950.2908124525436
"[31.0, 2016, 03]",31.0,2016,3.0,1843.338648443432
"[31.0, 2016, 04]",31.0,2016,4.0,1899.3955960516325
"[31.0, 2016, 05]",31.0,2016,5.0,2074.531511009871
"[31.0, 2016, 06]",31.0,2016,6.0,1971.557327258922
"[31.0, 2016, 07]",31.0,2016,7.0,2198.192862566439
"[31.0, 2016, 08]",31.0,2016,8.0,2476.2703113135917
"[31.0, 2016, 09]",31.0,2016,9.0,2454.8208048595293
"[31.0, 2016, 10]",31.0,2016,10.0,2460.840546697039
"[31.0, 2016, 11]",31.0,2016,11.0,2268.990888382688
"[31.0, 2016, 12]",31.0,2016,12.0,1893.91192103265
"[32.0, 2016, 01]",32.0,2016,1.0,1855.344526820759
"[32.0, 2016, 02]",32.0,2016,2.0,1976.2108591365027
"[32.0, 2016, 03]",32.0,2016,3.0,1869.2496729175757
"[32.0, 2016, 04]",32.0,2016,4.0,1963.9797208896648
"[32.0, 2016, 05]",32.0,2016,5.0,2088.0239860444835
"[32.0, 2016, 06]",32.0,2016,6.0,1764.8805058874839
"[32.0, 2016, 07]",32.0,2016,7.0,1868.319232446577
"[32.0, 2016, 08]",32.0,2016,8.0,2112.295464457043
"[32.0, 2016, 09]",32.0,2016,9.0,1996.215874400349
"[32.0, 2016, 10]",32.0,2016,10.0,2007.9559529001313
"[32.0, 2016, 11]",32.0,2016,11.0,2065.3163977322292
"[32.0, 2016, 12]",32.0,2016,12.0,2018.820540776276
"[33.0, 2016, 01]",33.0,2016,1.0,1571.405924412666
"[33.0, 2016, 02]",33.0,2016,2.0,1986.6073544433095
"[33.0, 2016, 03]",33.0,2016,3.0,1961.426353421859
"[33.0, 2016, 04]",33.0,2016,4.0,1713.137895812053
"[33.0, 2016, 05]",33.0,2016,5.0,1763.1282941777322
"[33.0, 2016, 06]",33.0,2016,6.0,1580.2355464759962
"[33.0, 2016, 07]",33.0,2016,7.0,1479.876608784474
"[33.0, 2016, 08]",33.0,2016,8.0,1901.3139938712975
"[33.0, 2016, 09]",33.0,2016,9.0,1573.473340143003
"[33.0, 2016, 10]",33.0,2016,10.0,1716.1767109295201
"[33.0, 2016, 11]",33.0,2016,11.0,1989.555669050051
"[33.0, 2016, 12]",33.0,2016,12.0,1921.6839632277838
"[34.0, 2016, 01]",34.0,2016,1.0,1716.819091068608
"[34.0, 2016, 02]",34.0,2016,2.0,1819.66555536059
"[34.0, 2016, 03]",34.0,2016,3.0,1762.0794876294087
"[34.0, 2016, 04]",34.0,2016,4.0,1849.0229864888574
"[34.0, 2016, 05]",34.0,2016,5.0,2033.9764871030002
"[34.0, 2016, 06]",34.0,2016,6.0,1926.6332689945605
"[34.0, 2016, 07]",34.0,2016,7.0,2089.4846464291977
"[34.0, 2016, 08]",34.0,2016,8.0,2281.6397613616423
"[34.0, 2016, 09]",34.0,2016,9.0,2281.3400596595893
"[34.0, 2016, 10]",34.0,2016,10.0,2297.365678189156
"[34.0, 2016, 11]",34.0,2016,11.0,2185.959642042463
"[34.0, 2016, 12]",34.0,2016,12.0,1863.6911738901558
"[35.0, 2016, 01]",35.0,2016,1.0,1840.894813378575
"[35.0, 2016, 02]",35.0,2016,2.0,1650.4944255937955
"[35.0, 2016, 03]",35.0,2016,3.0,1669.492001938924
"[35.0, 2016, 04]",35.0,2016,4.0,1950.0668928744547
"[35.0, 2016, 05]",35.0,2016,5.0,1671.0465341735337
