uid,grid_id,year,month,tavg_celsius,tmmx_celsius,tmmn_celsius
"[99.0, 2019, 12]",99.0,2019,12.0,26.896669793621015,30.657410881801123,23.1359287054409
"[100.0, 2019, 01]",100.0,2019,1.0,26.536414186955216,30.30459873760144,22.768229636308984
"[100.0, 2019, 02]",100.0,2019,2.0,26.774038172527817,30.770093177036372,22.77798316801923
"[100.0, 2019, 03]",100.0,2019,3.0,27.04825668770664,31.038473098887884,23.058040276525396
"[100.0, 2019, 04]",100.0,2019,4.0,27.853824767057407,31.9785392245266,23.72911030958821
"[100.0, 2019, 05]",100.0,2019,5.0,28.211684700931773,32.107484220018044,24.315885181845513
"[100.0, 2019, 06]",100.0,2019,6.0,27.93206342049894,31.600961827472204,24.2631650135257
"[100.0, 2019, 07]",100.0,2019,7.0,27.68685001502856,31.490411782386527,23.883288247670574
"[100.0, 2019, 08]",100.0,2019,8.0,27.88524195972348,31.892155094679886,23.878328824767056
"[100.0, 2019, 09]",100.0,2019,9.0,28.391471295461383,32.45078148482115,24.33216110610159
"[100.0, 2019, 10]",100.0,2019,10.0,28.05471145175834,32.097730688307784,24.011692215208903
"[100.0, 2019, 11]",100.0,2019,11.0,27.66254884280134,31.495025548542223,23.830072137060412
"[100.0, 2019, 12]",100.0,2019,12.0,27.039156898106395,30.50991884580703,23.568394950405775
"[101.0, 2019, 01]",101.0,2019,1.0,27.635138305754506,33.35463077303037,21.915645838478632
"[101.0, 2019, 02]",101.0,2019,2.0,28.803013089651763,34.35269202272166,23.253334156581875
"[101.0, 2019, 03]",101.0,2019,3.0,30.764021980735972,36.17163497159792,25.356408989874048
"[101.0, 2019, 04]",101.0,2019,4.0,31.40382193134107,36.85230921215115,25.95533465053099
"[101.0, 2019, 05]",101.0,2019,5.0,29.73798468757718,34.17998271178069,25.29598666337367
"[101.0, 2019, 06]",101.0,2019,6.0,28.423833045196343,32.19660409977773,24.651061990614966
"[101.0, 2019, 07]",101.0,2019,7.0,27.072135095085216,30.46510249444307,23.679167695727337
"[101.0, 2019, 08]",101.0,2019,8.0,26.596807853791056,29.560385280316133,23.63323042726601
"[101.0, 2019, 09]",101.0,2019,9.0,27.22214126944925,30.7904420844653,23.653840454433194
"[101.0, 2019, 10]",101.0,2019,10.0,28.64222030130897,32.744912324030615,24.539528278587312
"[101.0, 2019, 11]",101.0,2019,11.0,28.964077550012345,33.40568041491726,24.522474685107433
"[101.0, 2019, 12]",101.0,2019,12.0,28.03369967893306,33.174573968881205,22.892825388984942
"[102.0, 2019, 01]",102.0,2019,1.0,28.342967409948535,35.940137221269296,20.74579759862779
"[102.0, 2019, 02]",102.0,2019,2.0,30.138765008576325,37.17000428816466,23.10752572898799
"[102.0, 2019, 03]",102.0,2019,3.0,33.093396226415095,40.04103773584906,26.145754716981134
"[102.0, 2019, 04]",102.0,2019,4.0,32.94496140651801,39.53968696397941,26.350235849056602
"[102.0, 2019, 05]",102.0,2019,5.0,31.44528301886792,36.98374785591766,25.906818181818174
"[102.0, 2019, 06]",102.0,2019,6.0,30.25993782161234,34.94148799313894,25.57838765008576
"[102.0, 2019, 07]",102.0,2019,7.0,28.937682246998286,33.089879931389355,24.7854845626072
"[102.0, 2019, 08]",102.0,2019,8.0,27.921280017152654,31.749528301886784,24.093031732418527
"[102.0, 2019, 09]",102.0,2019,9.0,28.545411663807887,32.93394082332762,24.156882504288166
"[102.0, 2019, 10]",102.0,2019,10.0,29.94043739279588,34.739901372212685,25.14097341337907
"[102.0, 2019, 11]",102.0,2019,11.0,30.478001715265865,35.93623499142367,25.019768439108052
"[102.0, 2019, 12]",102.0,2019,12.0,29.027369210977703,35.56181389365351,22.492924528301884
"[103.0, 2019, 01]",103.0,2019,1.0,26.101820824072487,30.63327064455464,21.570371003590356
"[103.0, 2019, 02]",103.0,2019,2.0,26.42366216447256,31.09532398700633,21.752000341938796
"[103.0, 2019, 03]",103.0,2019,3.0,27.069199863224487,31.771020687296968,22.367379039151988
"[103.0, 2019, 04]",103.0,2019,4.0,27.825004274234928,32.488904086168574,23.16110446230124
"[103.0, 2019, 05]",103.0,2019,5.0,28.20042314925628,32.53865618054369,23.862190117968876
"[103.0, 2019, 06]",103.0,2019,6.0,27.769285347922715,31.827115746281425,23.711454949564022
"[103.0, 2019, 07]",103.0,2019,7.0,27.601957599589674,31.96973841682337,23.23417678235596
"[103.0, 2019, 08]",103.0,2019,8.0,27.7907719268251,32.381355787314085,23.200188066336136
